S. No.,Movie,Year,Director,Actors
1,The Shawshank Redemption,1994,Frank Darabont,"Tim Robbins, Morgan Freeman"
2,The Godfather,1972,Francis Ford Coppola,"Marlon Brando, Al Pacino"
3,The Godfather: Part II,1974,Francis Ford Coppola,"Al Pacino, Robert De Niro"
4,The Dark Knight,2008,Christopher Nolan,"Christian Bale, Heath Ledger"
5,12 Angry Men,1957,Sidney Lumet,"Henry Fonda, Lee J. Cobb"
6,Schindler's List,1993,Steven Spielberg,"Liam Neeson, Ralph Fiennes"
7,The Lord of the Rings: The Return of the King,2003,Peter Jackson,"Elijah Wood, Viggo Mortensen"
8,Pulp Fiction,1994,Quentin Tarantino,"John Travolta, Uma Thurman"
9,"Il buono, il brutto, il cattivo",1966,Sergio Leone,"Clint Eastwood, Eli Wallach"
10,Fight Club,1999,David Fincher,"Brad Pitt, Edward Norton"
11,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson,"Elijah Wood, Ian McKellen"
12,Forrest Gump,1994,Robert Zemeckis,"Tom Hanks, Robin Wright"
13,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner,"Mark Hamill, Harrison Ford"
14,Inception,2010,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt"
15,The Lord of the Rings: The Two Towers,2002,Peter Jackson,"Elijah Wood, Ian McKellen"
16,One Flew Over the Cuckoo's Nest,1975,Milos Forman,"Jack Nicholson, Louise Fletcher"
17,Goodfellas,1990,Martin Scorsese,"Robert De Niro, Ray Liotta"
18,The Matrix,1999,Lana Wachowski,"Keanu Reeves, Laurence Fishburne"
19,Shichinin no samurai,1954,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura"
20,Se7en,1995,David Fincher,"Morgan Freeman, Brad Pitt"
21,Cidade de Deus,2002,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino"
22,Star Wars,1977,George Lucas,"Mark Hamill, Harrison Ford"
